value,value,value,value,value,value,value,value,value,suburbName
48960,50721,51745,52548,53252,54430,56214,58277,62365,OLD TOONGABBIE
49452,50839,51719,53102,54103,55976,57436,59061,61860,KINGS LANGLEY
45521,46436,47344,48383,49049,50621,51910,52945,56188,ARNDELL PARK
46574,48453,50526,51291,52675,54953,57491,58911,63133,HARRIS PARK
54246,55757,56044,57034,57940,61436,63970,64504,68644,NORTH PARRAMATTA
54617,55637,58030,59793,59958,62297,64383,65892,70515,NORTHMEAD
58508,60484,61846,63623,64558,67494,69184,71776,76577,BAULKHAM HILLS
65462,67126,68370,68889,69767,71973,73675,76690,81122,CASTLE HILL
62102,64324,65742,67212,68262,70021,71708,74607,79923,BEAUMONT HILLS
71483,75471,76553,97768,82028,88844,89278,93565,104899,ANNANGROVE
55934,60541,60511,63095,65369,69430,70217,72115,76248,CANOELANDS
79171,81737,89971,89926,85650,104893,94269,103435,104796,DURAL
63459,65346,67624,69827,73327,74569,76911,81993,90933,ARCADIA
43299,44607,45287,45808,45624,47129,48050,48669,52659,MERRYLANDS
41608,42226,43097,43900,44431,45539,46041,46828,50286,GUILDFORD
43539,43682,44877,45878,45880,46444,46831,47517,50173,CHESTER HILL
39622,40881,40384,40987,41024,42408,43581,43662,46841,CARRAMAR
45893,47432,48412,50021,50647,51477,52064,53506,60309,SMITHFIELD
41324,42421,43121,44199,44541,44876,45618,46856,49758,FAIRFIELD
39550,40570,42363,42852,42996,44662,44889,45882,48962,CABRAMATTA
49717,50178,50367,52694,53129,54576,56628,57750,60225,GLENFIELD
43709,44782,45222,46527,46804,47872,48588,48976,51158,ASHCROFT
47259,48658,49502,50610,51139,52399,53589,54323,57260,CASULA
51741,53214,54615,56251,56360,58076,59733,60930,63413,CARNES HILL
61494,65592,67745,68485,71593,72380,74425,77358,82360,PLEASURE POINT
55674,56843,58206,59651,59669,61940,63042,64989,68408,HOLSWORTHY
51815,55936,59338,59532,60526,62097,62395,63939,67410,EDMONDSON PARK
52968,56353,58880,61496,64229,71796,68584,74161,91014,HORSLEY PARK
46489,48033,49385,50285,51269,52668,54321,54801,59391,ABBOTSBURY
44027,45069,46614,47883,48330,49791,50729,51463,54139,BONNYRIGG
54620,55232,59018,60407,63231,64039,70014,68158,78892,CECIL PARK
51163,50123,52205,54299,56990,57956,59665,60211,65397,AUSTRAL
42573,43925,44438,45842,46618,47413,49340,50594,54118,CHULLORA
47666,49945,51431,53725,54981,55466,56733,59362,62946,BELFIELD
42362,43585,44587,45829,46619,48011,49322,50762,54013,BELMORE
53138,55000,56260,60292,58677,59319,62417,64970,69099,ASHBURY
38485,39332,40403,41593,42621,42706,43424,45536,48885,CAMPSIE
37013,37033,37644,37981,41139,39832,40389,40998,44671,LAKEMBA
41606,42895,43850,44662,45565,46604,47678,48450,52012,PUNCHBOWL
